"","X1","date","Variable","mean_daily","station"
"1",1,2007-04-25,"NO3F",0.11195,"grbgbnut"
"2",5,2007-05-14,"PO4F",0.0121,"grbgbnut"
"3",9,2007-08-29,"CHLA_N",3.8,"grbgbnut"
"4",13,2007-09-17,"PO4F",0.0299,"grbgbnut"
"5",17,2007-11-27,"NH4F",0.0482,"grbgbnut"
"6",21,2008-04-23,"PO4F",0.0055,"grbgbnut"
"7",25,2008-07-07,"NO3F",0.0255,"grbgbnut"
"8",29,2008-09-24,"PO4F",0.026,"grbgbnut"
"9",33,2009-04-29,"PO4F",0.016,"grbgbnut"
"10",37,2009-06-29,"NO23F",0.082,"grbgbnut"
"11",41,2009-09-24,"PO4F",0.048,"grbgbnut"
"12",45,2009-12-07,"NO23F",0.138,"grbgbnut"
"13",49,2010-04-22,"PO4F",0.014,"grbgbnut"
"14",53,2010-06-21,"PO4F",0.013,"grbgbnut"
"15",57,2010-10-27,"NH4F",0.028,"grbgbnut"
"16",61,2010-11-16,"NH4F",0.036,"grbgbnut"
"17",65,2011-04-26,"CHLA_N",7.79666666666667,"grbgbnut"
"18",69,2011-05-23,"PO4F",0.008,"grbgbnut"
"19",73,2011-07-18,"NO23F",0.0296666666666667,"grbgbnut"
"20",77,2011-10-24,"NO23F",0.129666666666667,"grbgbnut"
"21",81,2011-12-05,"NH4F",0.0603333333333333,"grbgbnut"
"22",85,2012-03-26,"PO4F",0.005,"grbgbnut"
"23",89,2012-07-23,"CHLA_N",2.86,"grbgbnut"
"24",93,2012-08-08,"PO4F",0.044,"grbgbnut"
"25",97,2012-10-24,"PO4F",0.027,"grbgbnut"
"26",101,2012-12-04,"NO23F",0.122,"grbgbnut"
"27",105,2013-05-22,"CHLA_N",5.07,"grbgbnut"
"28",109,2013-07-09,"NO23F",0.041,"grbgbnut"
"29",113,2013-09-10,"NO23F",0.014,"grbgbnut"
"30",117,2013-11-14,"NO23F",0.117,"grbgbnut"
"31",121,2013-12-10,"PO4F",0.025,"grbgbnut"
"32",125,2014-07-07,"PO4F",0.014,"grbgbnut"
"33",129,2014-11-13,"NH4F",0.041,"grbgbnut"
"34",133,2015-04-27,"NO23F",0.068,"grbgbnut"
"35",137,2015-07-07,"NH4F",0.01,"grbgbnut"
"36",141,2015-08-03,"NO23F",0.012,"grbgbnut"
"37",145,2015-11-17,"NO23F",0.083,"grbgbnut"
"38",149,2016-03-30,"NH4F",0.011,"grbgbnut"
"39",153,2016-05-09,"NH4F",0.041,"grbgbnut"
"40",157,2016-08-08,"NH4F",0.031,"grbgbnut"
"41",161,2016-10-04,"NO23F",0.025,"grbgbnut"
"42",165,2016-12-06,"NO23F",0.205,"grbgbnut"
"43",169,2017-07-11,"PO4F",0.012,"grbgbnut"
"44",173,2017-10-23,"PO4F",0.039,"grbgbnut"
"45",177,2017-11-08,"PO4F",0.029,"grbgbnut"
"46",181,2018-05-21,"PO4F",0.006,"grbgbnut"
"47",185,2018-08-14,"NO23F",0.086,"grbgbnut"
"48",189,2018-10-15,"NO23F",0.057,"grbgbnut"
"49",193,2019-04-23,"NH4F",0.116,"grbgbnut"
"50",197,2019-05-21,"PO4F",0.013,"grbgbnut"
"51",201,2019-12-04,"CHLA_N",1.53,"grbgbnut"
"52",205,2020-08-24,"CHLA_N",4.3,"grbgbnut"
"53",209,2020-11-02,"CHLA_N",1.7,"grbgbnut"
"54",213,2020-12-07,"NH4F",0.028,"grbgbnut"
"55",2170,2007-02-28,"NH4F",0.008,"nartsnut"
"56",2174,2007-03-27,"NO2F",0.001,"nartsnut"
"57",2178,2007-05-16,"NO2F",0.001,"nartsnut"
"58",2182,2007-07-11,"NH4F",0.005,"nartsnut"
"59",2186,2007-09-21,"NO3F",0.0035,"nartsnut"
"60",2190,2007-11-26,"NO3F",0.129,"nartsnut"
"61",2194,2008-05-29,"CHLA_N",1.53,"nartsnut"
"62",2198,2009-01-08,"CHLA_N",0.26,"nartsnut"
"63",2202,2010-07-12,"CHLA_N",3.03,"nartsnut"
"64",2206,2013-03-11,"CHLA_N",1.86,"nartsnut"
"65",2210,2013-09-05,"CHLA_N",5.67,"nartsnut"
"66",2214,2013-12-03,"NH4F",0.042,"nartsnut"
"67",2218,2014-04-09,"NH4F",0.024,"nartsnut"
"68",2222,2014-07-21,"CHLA_N",3.95,"nartsnut"
"69",2226,2014-08-18,"PO4F",0.026,"nartsnut"
"70",2230,2014-11-10,"NH4F",0.038,"nartsnut"
"71",2234,2015-01-05,"CHLA_N",0.86,"nartsnut"
"72",2238,2015-02-18,"NO23F",0.008,"nartsnut"
"73",2242,2015-04-27,"NH4F",0.011,"nartsnut"
"74",2246,2015-06-16,"CHLA_N",2.88,"nartsnut"
"75",2250,2015-07-13,"PO4F",0.019,"nartsnut"
"76",2254,2015-10-26,"CHLA_N",4.37,"nartsnut"
"77",2258,2015-12-07,"NO23F",0.0605,"nartsnut"
"78",2262,2016-02-17,"NH4F",0.014,"nartsnut"
"79",2266,2016-04-18,"NH4F",0.015,"nartsnut"
"80",2270,2016-07-18,"CHLA_N",5,"nartsnut"
"81",2274,2016-08-15,"PO4F",0.029,"nartsnut"
"82",2278,2016-11-14,"CHLA_N",2.86,"nartsnut"
"83",2282,2017-01-30,"CHLA_N",4.389674,"nartsnut"
"84",2286,2017-04-24,"CHLA_N",4.8931494,"nartsnut"
"85",2290,2017-07-03,"NH4F",0.007,"nartsnut"
"86",2294,2017-09-05,"NH4F",0.032,"nartsnut"
"87",2298,2017-11-28,"NO3F",0.1195,"nartsnut"
"88",2302,2018-01-29,"PO4F",0.006,"nartsnut"
"89",2306,2018-04-24,"PO4F",0.002,"nartsnut"
"90",2310,2018-07-12,"NH4F",0.007,"nartsnut"
"91",2314,2018-10-09,"NO3F",0.0765,"nartsnut"
"92",2318,2018-12-04,"NO3F",0.192,"nartsnut"
"93",2322,2019-01-15,"PO4F",0.0184,"nartsnut"
"94",2326,2019-05-14,"CHLA_N",1.54,"nartsnut"
"95",2330,2019-07-16,"PO4F",0.0105,"nartsnut"
"96",2334,2019-10-08,"NO23F",0.0263,"nartsnut"
"97",2460,2007-01-18,"NO23F",0.1593,"welinnut"
"98",2464,2007-01-19,"NO23F",0.159333333333333,"welinnut"
"99",2468,2007-02-12,"NO23F",0.1186,"welinnut"
"100",2472,2007-02-13,"NO23F",0.1211,"welinnut"
"101",2476,2007-03-15,"NO23F",0.116566666666667,"welinnut"
"102",2480,2007-03-16,"NO23F",0.1273,"welinnut"
"103",2484,2007-05-15,"PO4F",0.010375,"welinnut"
"104",2488,2007-07-11,"CHLA_N",1.56666666666667,"welinnut"
"105",2492,2007-07-12,"NH4F",0.20845,"welinnut"
"106",2496,2007-08-21,"PO4F",0.0123,"welinnut"
"107",2500,2007-09-18,"CHLA_N",1.1,"welinnut"
"108",2504,2007-09-19,"NH4F",0.0691,"welinnut"
"109",2508,2007-10-15,"NO23F",0.0181666666666667,"welinnut"
"110",2512,2007-10-16,"NO23F",0.0253,"welinnut"
"111",2516,2007-11-19,"NO23F",0.0998333333333333,"welinnut"
"112",2520,2007-11-20,"NO23F",0.08605,"welinnut"
"113",2524,2007-12-18,"NO23F",0.10565,"welinnut"
"114",2528,2007-12-19,"NO23F",0.1075,"welinnut"
"115",2532,2008-01-16,"NO23F",0.10945,"welinnut"
"116",2536,2008-01-17,"NO23F",0.138366666666667,"welinnut"
"117",2540,2008-02-12,"NO23F",0.11,"welinnut"
"118",2544,2008-02-13,"NO23F",0.11535,"welinnut"
"119",2548,2008-03-18,"NO23F",0.0024,"welinnut"
"120",2552,2008-03-19,"NO23F",0.0113,"welinnut"
"121",2556,2008-04-17,"CHLA_N",0.25,"welinnut"
"122",2560,2008-05-21,"NH4F",0.0264666666666667,"welinnut"
"123",2564,2008-05-22,"NH4F",0.01565,"welinnut"
"124",2568,2008-06-17,"NH4F",0.02095,"welinnut"
"125",2572,2008-06-18,"NO23F",0.0081,"welinnut"
"126",2576,2008-07-16,"PO4F",0.0018,"welinnut"
"127",2580,2008-08-12,"CHLA_N",1.8,"welinnut"
"128",2584,2008-08-13,"CHLA_N",1.85,"welinnut"
"129",2588,2008-09-11,"CHLA_N",1.65,"welinnut"
"130",2592,2008-09-12,"CHLA_N",1.9,"welinnut"
"131",2596,2008-10-16,"CHLA_N",2.9,"welinnut"
"132",2600,2008-10-17,"CHLA_N",0.95,"welinnut"
"133",2604,2008-11-18,"CHLA_N",0.3,"welinnut"
"134",2608,2008-11-19,"CHLA_N",0.3,"welinnut"
"135",2612,2008-12-18,"CHLA_N",0.4,"welinnut"
"136",2616,2008-12-19,"CHLA_N",0.55,"welinnut"
"137",2620,2009-01-14,"CHLA_N",0.3,"welinnut"
"138",2624,2009-01-15,"CHLA_N",0.3,"welinnut"
"139",2628,2009-02-18,"CHLA_N",0.7,"welinnut"
"140",2632,2009-02-19,"CHLA_N",0.733333333333333,"welinnut"
"141",2636,2009-03-17,"NH4F",0.033,"welinnut"
"142",2640,2009-03-18,"NH4F",0.036,"welinnut"
"143",2644,2009-04-16,"NH4F",0.0185,"welinnut"
"144",2648,2009-04-17,"PO4F",0.0065,"welinnut"
"145",2652,2009-05-18,"PO4F",0.005,"welinnut"
"146",2656,2009-05-19,"PO4F",0.003,"welinnut"
"147",2660,2009-06-18,"NH4F",0.01,"welinnut"
"148",2664,2009-07-15,"PO4F",0.009,"welinnut"
"149",2668,2009-07-16,"PO4F",0.009,"welinnut"
"150",2672,2009-08-13,"NH4F",0.0525,"welinnut"
"151",2676,2009-09-21,"NO23F",0.0116666666666667,"welinnut"
"152",2680,2009-09-22,"NO23F",0.012,"welinnut"
"153",2684,2009-10-15,"NO23F",0.0355,"welinnut"
"154",2688,2009-10-16,"NO23F",0.021,"welinnut"
"155",2692,2009-11-10,"NO23F",0.068,"welinnut"
"156",2696,2009-11-11,"NO23F",0.072,"welinnut"
"157",2700,2009-12-16,"PO4F",0.016,"welinnut"
"158",2704,2010-01-20,"CHLA_N",0.966666666666667,"welinnut"
"159",2708,2010-01-21,"CHLA_N",1,"welinnut"
"160",2712,2010-02-17,"CHLA_N",0.85,"welinnut"
"161",2716,2010-02-18,"CHLA_N",1.1,"welinnut"
"162",2720,2010-03-22,"CHLA_N",0.3,"welinnut"
"163",2724,2010-03-23,"CHLA_N",0.4,"welinnut"
"164",2728,2010-04-20,"CHLA_N",0.433333333333333,"welinnut"
"165",2732,2010-04-21,"CHLA_N",0.35,"welinnut"
"166",2736,2010-05-20,"CHLA_N",0.4,"welinnut"
"167",2740,2010-05-21,"NH4F",0.022,"welinnut"
"168",2744,2010-06-15,"NH4F",0.018,"welinnut"
"169",2748,2010-06-16,"NH4F",0.029,"welinnut"
"170",2752,2010-07-14,"NH4F",0.0385,"welinnut"
"171",2756,2010-07-15,"NH4F",0.0525,"welinnut"
"172",2760,2010-08-17,"NH4F",0.0273333333333333,"welinnut"
"173",2764,2010-08-18,"NH4F",0.035,"welinnut"
"174",2768,2010-09-15,"NH4F",0.0225,"welinnut"
"175",2772,2010-09-16,"NH4F",0.0263333333333333,"welinnut"
"176",2776,2010-10-13,"NH4F",0.019,"welinnut"
"177",2780,2010-10-14,"NH4F",0.0255,"welinnut"
"178",2784,2010-11-17,"NH4F",0.013,"welinnut"
"179",2788,2010-11-18,"NH4F",0.0203333333333333,"welinnut"
"180",2792,2010-12-15,"NH4F",0.0295,"welinnut"
"181",2796,2010-12-16,"NH4F",0.038,"welinnut"
"182",2800,2011-01-13,"NH4F",0.0255,"welinnut"
"183",2804,2011-01-14,"NH4F",0.0225,"welinnut"
"184",2808,2011-02-16,"NH4F",0.0295,"welinnut"
"185",2812,2011-02-17,"NH4F",0.0216666666666667,"welinnut"
"186",2816,2011-03-16,"NH4F",0.027,"welinnut"
"187",2820,2011-03-17,"NH4F",0.0403333333333333,"welinnut"
"188",2824,2011-04-19,"NH4F",0.0125,"welinnut"
"189",2828,2011-04-20,"NH4F",0.016,"welinnut"
"190",2832,2011-05-24,"CHLA_N",1.25,"welinnut"
"191",2836,2011-05-25,"CHLA_N",0.866666666666667,"welinnut"
"192",2840,2011-06-15,"CHLA_N",0.9,"welinnut"
"193",2844,2011-06-16,"NH4F",0.0173333333333333,"welinnut"
"194",2848,2011-07-19,"NH4F",0.064,"welinnut"
"195",2852,2011-07-20,"NH4F",0.036,"welinnut"
"196",2856,2011-08-23,"NH4F",0.0555,"welinnut"
"197",2860,2011-08-24,"NH4F",0.0613333333333333,"welinnut"
"198",2864,2011-09-13,"NH4F",0.029,"welinnut"
"199",2868,2011-09-14,"NH4F",0.0205,"welinnut"
"200",2872,2011-10-24,"NH4F",0.033,"welinnut"
"201",2876,2011-10-25,"NH4F",0.025,"welinnut"
"202",2880,2011-11-16,"NH4F",0.026,"welinnut"
"203",2884,2011-11-17,"NH4F",0.0276666666666667,"welinnut"
"204",2888,2011-12-14,"NH4F",0.0225,"welinnut"
"205",2892,2011-12-15,"NH4F",0.02,"welinnut"
"206",2896,2012-01-18,"NH4F",0.0375,"welinnut"
"207",2900,2012-01-19,"NH4F",0.032,"welinnut"
"208",2904,2012-02-15,"NH4F",0.019,"welinnut"
"209",2908,2012-02-16,"NH4F",0.0266666666666667,"welinnut"
"210",2912,2012-03-22,"NH4F",0.0345,"welinnut"
"211",2916,2012-03-23,"NH4F",0.0296666666666667,"welinnut"
"212",2920,2012-04-19,"NH4F",0.034,"welinnut"
"213",2924,2012-04-20,"NH4F",0.039,"welinnut"
"214",2928,2012-05-22,"NO23F",0.0095,"welinnut"
"215",2932,2012-06-19,"CHLA_N",0.8,"welinnut"
"216",2936,2012-06-20,"NH4F",0.0193333333333333,"welinnut"
"217",2940,2012-07-19,"NO23F",0.0213333333333333,"welinnut"
"218",2944,2012-07-20,"NO23F",0.02,"welinnut"
"219",2948,2012-08-14,"NO23F",0.0235,"welinnut"
"220",2952,2012-09-12,"CHLA_N",0.55,"welinnut"
"221",2956,2012-09-13,"CHLA_N",0.6,"welinnut"
"222",2960,2012-10-18,"NH4F",0.027,"welinnut"
"223",2964,2012-10-19,"NH4F",0.0315,"welinnut"
"224",2968,2012-11-14,"NH4F",0.029,"welinnut"
"225",2972,2012-11-15,"NH4F",0.0226666666666667,"welinnut"
"226",2976,2012-12-12,"NH4F",0.015,"welinnut"
"227",2980,2012-12-13,"NH4F",0.0183333333333333,"welinnut"
"228",2984,2013-01-16,"NH4F",0.02,"welinnut"
"229",2988,2013-01-17,"NH4F",0.023,"welinnut"
"230",2992,2013-02-20,"NH4F",0.024,"welinnut"
"231",2996,2013-02-21,"NH4F",0.0183333333333333,"welinnut"
"232",3000,2013-03-20,"NH4F",0.0165,"welinnut"
"233",3004,2013-03-21,"NH4F",0.0295,"welinnut"
"234",3008,2013-04-18,"CHLA_N",0.863333333333333,"welinnut"
"235",3012,2013-04-19,"CHLA_N",0.5,"welinnut"
"236",3016,2013-05-16,"CHLA_N",1.035,"welinnut"
"237",3020,2013-05-17,"CHLA_N",1.03,"welinnut"
"238",3024,2013-06-18,"CHLA_N",0.945,"welinnut"
"239",3028,2013-06-19,"CHLA_N",0.945,"welinnut"
"240",3032,2013-07-18,"NH4F",0.0235,"welinnut"
"241",3036,2013-07-19,"NH4F",0.047,"welinnut"
"242",3040,2013-08-28,"NH4F",0.0176666666666667,"welinnut"
"243",3044,2013-08-29,"NH4F",0.028,"welinnut"
"244",3048,2013-09-25,"NH4F",0.0445,"welinnut"
"245",3052,2013-09-26,"NH4F",0.0546666666666667,"welinnut"
"246",3056,2013-10-17,"NH4F",0.014,"welinnut"
"247",3060,2013-10-18,"PO4F",0.0055,"welinnut"
"248",3064,2013-11-25,"PO4F",0.0175,"welinnut"
"249",3068,2013-11-26,"PO4F",0.0195,"welinnut"
"250",3072,2013-12-12,"PO4F",0.0265,"welinnut"
"251",3076,2014-01-22,"CHLA_N",1,"welinnut"
"252",3080,2014-01-23,"CHLA_N",1,"welinnut"
"253",3084,2014-02-19,"CHLA_N",0.4,"welinnut"
"254",3088,2014-02-20,"CHLA_N",0.5,"welinnut"
"255",3092,2014-03-18,"CHLA_N",0.266666666666667,"welinnut"
"256",3096,2014-04-17,"NO23F",0.0785,"welinnut"
"257",3100,2014-04-18,"NO23F",0.0795,"welinnut"
"258",3104,2014-05-19,"NO23F",0.006,"welinnut"
"259",3108,2014-05-20,"NO23F",0.0145,"welinnut"
"260",3112,2014-06-18,"CHLA_N",1.35,"welinnut"
"261",3116,2014-07-17,"CHLA_N",3.95,"welinnut"
"262",3120,2014-07-18,"CHLA_N",2.6,"welinnut"
"263",3124,2014-08-14,"CHLA_N",2.05,"welinnut"
"264",3128,2014-08-15,"CHLA_N",1.3,"welinnut"
"265",3132,2014-09-23,"CHLA_N",0.4,"welinnut"
"266",3136,2014-09-24,"NH4F",0.0305,"welinnut"
"267",3140,2014-10-14,"NH4F",0.022,"welinnut"
"268",3144,2014-10-15,"NH4F",0.0313333333333333,"welinnut"
"269",3148,2014-11-18,"NH4F",0.026,"welinnut"
"270",3152,2014-11-19,"NO23F",0.097,"welinnut"
"271",3156,2014-12-15,"PO4F",0.0215,"welinnut"
"272",3160,2015-01-20,"CHLA_N",0.8,"welinnut"
"273",3164,2015-01-21,"CHLA_N",0.933333333333333,"welinnut"
"274",3168,2015-02-26,"CHLA_N",0.4,"welinnut"
"275",3172,2015-02-27,"CHLA_N",0.6,"welinnut"
"276",3176,2015-03-18,"CHLA_N",0.4,"welinnut"
"277",3180,2015-03-19,"CHLA_N",0.3,"welinnut"
"278",3184,2015-04-16,"CHLA_N",0.6,"welinnut"
"279",3188,2015-04-17,"CHLA_N",0.6,"welinnut"
"280",3192,2015-05-19,"CHLA_N",0.55,"welinnut"
"281",3196,2015-05-20,"NH4F",0.0125,"welinnut"
"282",3200,2015-06-15,"NH4F",0.007,"welinnut"
"283",3204,2015-06-16,"NH4F",0.008,"welinnut"
"284",3208,2015-07-21,"PO4F",0.003,"welinnut"
"285",3212,2015-08-17,"CHLA_N",3.75,"welinnut"
"286",3216,2015-08-18,"CHLA_N",1.3,"welinnut"
"287",3220,2015-09-15,"CHLA_N",0.65,"welinnut"
"288",3224,2015-09-16,"CHLA_N",0.85,"welinnut"
"289",3228,2015-10-22,"CHLA_N",0.966666666666667,"welinnut"
"290",3232,2015-10-23,"CHLA_N",0.4,"welinnut"
"291",3236,2015-11-18,"CHLA_N",0.9,"welinnut"
"292",3240,2015-11-19,"CHLA_N",0.8,"welinnut"
"293",3244,2015-12-14,"NO23F",0.0645,"welinnut"
"294",3248,2016-01-26,"PO4F",0.02,"welinnut"
"295",3252,2016-02-22,"NH4F",0.022,"welinnut"
"296",3256,2016-02-23,"NO23F",0.1375,"welinnut"
"297",3260,2016-03-28,"PO4F",0.0155,"welinnut"
"298",3264,2016-04-19,"NH4F",0.0135,"welinnut"
"299",3268,2016-04-20,"NO23F",0.037,"welinnut"
"300",3272,2016-05-18,"PO4F",0.017,"welinnut"
"301",3276,2016-06-15,"NH4F",0.0145,"welinnut"
"302",3280,2016-06-16,"NO23F",0.012,"welinnut"
"303",3284,2016-07-18,"PO4F",0.009,"welinnut"
"304",3288,2016-08-16,"PO4F",0.005,"welinnut"
"305",3292,2016-09-19,"NH4F",0.0146666666666667,"welinnut"
"306",3296,2016-09-20,"NO23F",0.0376666666666667,"welinnut"
"307",3300,2016-10-26,"PO4F",0.0206666666666667,"welinnut"
"308",3304,2016-11-18,"NH4F",0.0165,"welinnut"
"309",3308,2016-11-19,"NO23F",0.086,"welinnut"
"310",3312,2016-12-14,"PO4F",0.013,"welinnut"
"311",3316,2017-01-25,"CHLA_N",2,"welinnut"
"312",3320,2017-01-26,"CHLA_N",1.53333333333333,"welinnut"
"313",3324,2017-02-21,"CHLA_N",0.35,"welinnut"
"314",3328,2017-02-22,"CHLA_N",0.4,"welinnut"
"315",3332,2017-03-20,"CHLA_N",0.35,"welinnut"
"316",3336,2017-03-21,"NH4F",0.006,"welinnut"
"317",3340,2017-04-24,"NH4F",0.008,"welinnut"
"318",3344,2017-04-25,"NO23F",0.0133333333333333,"welinnut"
"319",3348,2017-05-23,"CHLA_N",1.13333333333333,"welinnut"
"320",3352,2017-06-22,"NO23F",0.035,"welinnut"
"321",3356,2017-06-23,"NO23F",0.015,"welinnut"
"322",3360,2017-07-24,"NO23F",0.016,"welinnut"
"323",3364,2017-07-25,"NO23F",0.0173333333333333,"welinnut"
"324",3368,2017-08-24,"PO4F",0.011,"welinnut"
"325",3372,2017-09-21,"NH4F",0.014,"welinnut"
"326",3376,2017-10-26,"NO23F",0.0155,"welinnut"
"327",3380,2017-10-27,"NO23F",0.0823333333333333,"welinnut"
"328",3384,2017-11-27,"NO23F",0.132,"welinnut"
"329",3388,2017-11-28,"PO4F",0.029,"welinnut"
"330",3392,2017-12-14,"CHLA_N",0.2,"welinnut"
"331",3396,2018-01-29,"NH4F",0.0155,"welinnut"
"332",3400,2018-01-30,"NH4F",0.018,"welinnut"
"333",3404,2018-01-31,"PO4F",0.022,"welinnut"
"334",3408,2018-02-28,"NO23F",0.1085,"welinnut"
"335",3412,2018-04-23,"PO4F",0.0055,"welinnut"
"336",3416,2018-05-15,"CHLA_N",0.233333333333333,"welinnut"
"337",3420,2018-05-16,"CHLA_N",0.2,"welinnut"
"338",3424,2018-06-18,"CHLA_N",0.45,"welinnut"
"339",3428,2018-06-19,"CHLA_N",0.566666666666667,"welinnut"
"340",3432,2018-07-16,"CHLA_N",0.6,"welinnut"
"341",3436,2018-07-17,"CHLA_N",0.8,"welinnut"
"342",3440,2018-08-20,"CHLA_N",0.8,"welinnut"
"343",3444,2018-08-21,"CHLA_N",0.4,"welinnut"
"344",3448,2018-09-23,"CHLA_N",1.25,"welinnut"
"345",3452,2018-09-24,"CHLA_N",1.53333333333333,"welinnut"
"346",3456,2018-10-15,"CHLA_N",0.3,"welinnut"
"347",3460,2018-10-16,"CHLA_N",0.2,"welinnut"
"348",3464,2018-11-28,"CHLA_N",0.466666666666667,"welinnut"
"349",3468,2018-11-29,"CHLA_N",0.3,"welinnut"
"350",3472,2018-12-17,"CHLA_N",0.2,"welinnut"
"351",3476,2018-12-18,"NH4F",0.065,"welinnut"
"352",3480,2019-02-26,"NH4F",0.0695,"welinnut"
"353",3484,2019-02-27,"NO23F",0.109,"welinnut"
"354",3488,2019-03-27,"NO23F",0.071,"welinnut"
"355",3492,2019-03-28,"NO23F",0.0635,"welinnut"
"356",3496,2019-04-23,"NO23F",0.058,"welinnut"
"357",3500,2019-04-24,"NO23F",0.055,"welinnut"
"358",3504,2019-06-18,"CHLA_N",0.91,"welinnut"
"359",3508,2019-06-19,"PO4F",0.0035,"welinnut"
"360",3512,2019-07-16,"PO4F",0.0065,"welinnut"
"361",3516,2019-08-21,"CHLA_N",2.425,"welinnut"
"362",3520,2019-09-16,"NH4F",0.012,"welinnut"
"363",3524,2019-09-17,"PO4F",0.00866666666666667,"welinnut"
"364",3528,2019-10-29,"CHLA_N",0.92,"welinnut"
"365",3532,2019-11-20,"NO23F",0.1055,"welinnut"
"366",3536,2019-11-21,"NO23F",0.1235,"welinnut"
"367",3540,2019-12-11,"NO23F",0.129,"welinnut"
"368",3544,2019-12-12,"NO23F",0.1395,"welinnut"
